一级分类ID,一级分类名,二级分类ID,二级分类名
1100,基础设定,,
,,1101,图片属性
,,1102,图片背景
,,1103,镜头角度
,,1104,镜头效果
,,1105,画面焦点
,,1106,画面像素
,,1107,画面结构
,,1108,画面风格
,,1109,画面组合
,,,
1200,人物设定,,
,,1201,性别设定
,,1202,年龄标签
,,1203,数量标签
,,1204,人物体形
,,1205,人物种族
,,1206,人物职业
,,1207,人物风格
,,1208,人物关系
,,1209,人物状态
,,,
1300,躯干设定,,
,,1301,躯体结构
,,1302,躯体动作
,,1303,人体外形
,,1304,人体阴影
,,1305,人体质感
,,1306,人体表现
,,1307,胸部大小
,,1308,胸部效果
,,,
1400,面部设定,,
,,1401,面部色彩
,,1402,面部特征
,,1403,面部妆容
,,1404,面部装饰
,,1405,面部表情
,,1406,表情符号
,,1407,表情组合
,,,
1500,五官设定,,
,,1501,眼部外观
,,1502,眼睛颜色
,,1503,眉毛设定
,,1504,舌头设定
,,1505,嘴唇设定
,,1506,耳朵设定
,,1507,牙齿设定
,,1508,鼻子设定
,,1509,胡子设定
,,1510,面部结构
,,1511,五官组合
,,,
1600,头发设定,,
,,1601,头发长度
,,1602,头发属性
,,1603,头发颜色
,,1604,头发质感
,,1605,头发装饰
,,1606,基础发型
,,1607,前发设定
,,1608,侧发设定
,,1609,后发设定
,,1610,发型组合
,,,
1700,服装属性,,
,,1701,服装类型
,,1702,服装风格
,,1703,服装材质
,,1704,服装状态
,,1705,服装拆分
,,1706,穿着部位
,,1707,穿着动作
,,,
1800,服装外观,,
,,1801,外套类别
,,1802,内衣类别
,,1803,内裤类别
,,1804,套装类别
,,1805,礼服类别
,,1806,鞋子类别
,,1807,袜子类别
,,1808,装饰类别
,,1809,帽子类别
,,1810,裤子类别
,,1811,裙子类别
,,1812,泳装类别
,,1813,特殊类别
,,1814,服装组合
,,,
1900,装饰设定,,
,,1901,手部装饰
,,1902,足部装饰
,,1903,背部装饰
,,1904,脖子装饰
,,1905,其他装饰
,,,
2000,环境背景,,
,,2001,时间
,,2002,季节
,,2003,地点
,,2004,自然
,,2005,景观
,,2006,建筑
,,2007,节日
,,2008,天文
,,2009,动物
,,2010,机械
,,2011,特殊
,,2012,符号
,,2013,场景
,,,
2100,动作设定,,
,,2101,头部动作
,,2102,躯体动作
,,2103,手势动作
,,2104,手部动作
,,2105,腿部动作
,,2106,足部动作
,,2107,运动体操
,,2108,肢体互动
,,2109,动作组合
,,,
2200,肢体外观,,
,,2201,肢体数量
,,2202,肢体外观
,,2203,肢体调整
,,2204,腿部外观
,,2205,足部外观
,,2206,手部外观
,,2207,脖子外观
,,2208,肢体组合
,,,
2300,物品设定,,
,,2301,道具
,,2302,武器
,,2303,特殊
,,2304,魔法
,,2305,乐器
,,2306,动物
,,2307,植物
,,2308,食物
,,,
2400,特殊设定,,
,,2401,特殊体型
,,2402,特殊外观
,,2403,特殊材质
,,2404,特殊效果
,,2405,特殊装饰
,,2406,特殊动作
,,,
2500,作品相关,,
,,2501,原画师
,,2502,作品集
,,,
2600,动漫相关,,
,,2601,动漫作品
,,2602,动漫角色
,,2603,动漫设定
,,,
2700,游戏相关,,
,,2701,原神
,,2702,阴阳师
,,2703,碧蓝航线
,,2704,碧蓝幻想
,,2705,少女前线
,,2706,其他游戏
,,,
2800,专有名词,,
,,2801,WIKI
,,2802,调色板
,,2803,画质提升
,,2804,模型优化
,,2805,基础反咒
,,2806,神奇反咒
,,2807,种子标签
,,,
2900,命令标签,,
,,2901,特殊命令
,,2902,神秘代码
,,,
3000,NSFW,,
,,3001,液体体液
,,3002,性爱体位
,,3003,色情动作
,,3004,色情部位
,,3005,色情道具
,,3006,色情设定
,,3007,色情场所
,,3008,多人运动
,,3009,禁忌关系
,,3010,禁忌血腥
,,3011,施虐SM
,,3012,捆绑BD
,,3013,调教DS
,,,
3100,默认标签,,
,,3101,未知分类
,,3102,无效标签
